Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5",0805,2,1.0 uF,C28323
"C2, C6",0805,2,0.1 uF,C49678
"C3, C7",C_Disc_D3.0mm_W1.6mm_P2.50mm,2,1.0 uF,
"C4, C8",C_Disc_D3.0mm_W1.6mm_P2.50mm,2,0.1 uF,
"H1, H2, H3",MountingHole_3.2mm_M3,3,MountingHole,
J1,"PhoenixContact_MSTBVA_2,5_2-G-5,08_1x02_P5.08mm_Vertical",1,POWER,
J2,PinHeader_1x02_P2.54mm_Vertical,1,5V IN,
J3,IDC-Header_2x05_P2.54mm_Vertical,1,TFT,
J4,PinHeader_1x04_P2.54mm_Vertical,1,RELAY,
J5,PinHeader_1x04_P2.54mm_Vertical,1,LCD,
J6,RJ45_Amphenol_54602-x08_Horizontal,1,RJ45,
J7,PinHeader_1x02_P2.54mm_Vertical,1,GLYCOL,
J8,PinHeader_1x03_P2.54mm_Vertical,1,OW_VSEL,
JP1,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,1,SolderJumper_3_Open,
"Q1, Q2",SOT-23-3,2,BSS123,C7420338
R1,0805,1,2k2,C17520
R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,1,2k2,
"R3, R4, R5, R6",0805,4,10K,C17414
R7,0805,1,100R,C17408
R8,0805,1,8k2,C17828
R9,0805,1,27k,C17593
U1,DIP-4_W7.62mm_SMDSocket_SmallPads,1,EL817,C106900
U2,Lolin_D32,1,~,
